Embedding_Model,LLM_Model,Year_Group,Dataset,Question_Set,Row_Index,Question,Question_Type,LLM_Response,Is_Refusal_Keyword,bart_score,bart_label,deberta_large_score,deberta_large_label,deberta_ml_score,deberta_ml_label,majority_label,Is_Refusal_NLI
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,4,"In the 'Self-supervised visual learning for analyzing firearms trafficking' paper, what percentage of the crawled web images came specifically from dark Web sites?",Negative / Unanswerable Questions,"The retrieved document does not provide a direct answer to your question regarding the percentage of crawled web images coming specifically from dark Web sites. The document primarily discusses automated visual firearms classification using deep neural networks (DNNs) and their application in identifying criminal firearms trafficking networks on the World Wide Web, including social media and dark Web sites.",False,0.9737290740013123,entailment,0.997433602809906,entailment,0.99169921875,entailment,entailment,True
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,4,"In the 'Self-supervised visual learning for analyzing firearms trafficking' paper, what percentage of the crawled web images came specifically from dark Web sites?",Negative / Unanswerable Questions,"No Answer. The retrieved documents do not provide information on the specific percentage of web images crawled from dark Web sites. They only discuss the methodology and applications of deep neural networks in visual firearms classification from RGB images crawled from the World Wide Web, including social media platforms.",True,0.9369744062423706,entailment,0.9968632459640503,entailment,0.97314453125,entailment,entailment,True
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,4,"In the 'Self-supervised visual learning for analyzing firearms trafficking' paper, what percentage of the crawled web images came specifically from dark Web sites?",Negative / Unanswerable Questions,"The documents provided do not specify the percentage of internet traffic sources used in the study. The answer is therefore ""No Answer.""",True,0.9483233094215393,entailment,0.9967273473739624,entailment,0.98095703125,entailment,entailment,True
granite-embedding-30m,gemma2:2b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,4,"In the 'Self-supervised visual learning for analyzing firearms trafficking' paper, what percentage of the crawled web images came specifically from dark Web sites?",Negative / Unanswerable Questions,"No Answer 
",True,0.9243170619010925,entailment,0.9905529022216797,entailment,0.97802734375,entailment,entailment,True
granite-embedding-30m,qwen2.5:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,4,"In the 'Self-supervised visual learning for analyzing firearms trafficking' paper, what percentage of the crawled web images came specifically from dark Web sites?",Negative / Unanswerable Questions,No Answer. The provided document does not specify any details about the proportion of crawled web images coming from specific sources such as the Dark Web.,True,0.9369744062423706,entailment,0.9922139048576355,entailment,0.97314453125,entailment,entailment,True
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,9,What was the exact size in megabytes of the final trained EndoDepthL model?,Negative / Unanswerable Questions,"According to the retrieved documents, there is no mention of the size of the final trained EndoDepthL model in megabytes. The provided information only discusses the method's performance evaluation and comparison with existing baseline solutions on various datasets. No specific details about the model's training or deployment are available. 

No Answer",True,0.9243170619010925,entailment,0.992720365524292,entailment,0.97802734375,entailment,entailment,True
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,9,What was the exact size in megabytes of the final trained EndoDepthL model?,Negative / Unanswerable Questions,No Answer. The retrieved documents do not provide information on the exact size in megabytes of the final trained EndoDepthL model.,True,0.9369744062423706,entailment,0.9967437982559204,entailment,0.97314453125,entailment,entailment,True
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,9,What was the exact size in megabytes of the final trained EndoDepthL model?,Negative / Unanswerable Questions,The retrieved documents do not provide information on the exact size in megabytes of the final trained EndoDepthL model. No Answer can be given based on the provided guidelines and documents.,True,0.9205798506736755,entailment,0.9967437982559204,entailment,0.9580078125,entailment,entailment,True
granite-embedding-30m,gemma2:2b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,9,What was the exact size in megabytes of the final trained EndoDepthL model?,Negative / Unanswerable Questions,"No Answer 
",True,0.9243168234825134,entailment,0.9905529022216797,entailment,0.97802734375,entailment,entailment,True
granite-embedding-30m,qwen2.5:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,df_2023_2024_Computer Vision and Pattern Recognition,9,What was the exact size in megabytes of the final trained EndoDepthL model?,Negative / Unanswerable Questions,No Answer. The provided documents do not contain any information about the size of the EndoDepthL model or its training details.,True,0.9369745850563049,entailment,0.9978000521659851,entailment,0.97314453125,entailment,entailment,True
